Year,Author,Title
2013,Adam Johnson,The Orphan Master's Son
2011,Jennifer Egan,A Visit From The Goon Squad
2010,Paul Harding,Tinkers
2009,Elizabeth Strout,Olive Kitteridge
2008,Junot Diaz,The Brief Wondrous Life Of Oscar Wao
2007,Cormac McCarthy,The Road
2006,Geraldine Brooks,March
2005,Marilynne Robinson,Gilead
2004,Edward P. Jones,The Known World
2003,Jeffrey Eugenides,Middlesex
2002,Richard Russo,Empire Falls
2001,Michael Chabon,The Amazing Adventures Of Kavalier and Clay
2000,Jhumpa  Lahiri,Interpreter Of Maladies
1999,Michael Cunningham,The Hours
1998,Philip Roth,American Pastoral
1997,Steven Millhauser,Martin Dressler
1996,Richard Ford,Independence Day
1995,Carol Shields,The Stone Diaries
1994,E. Annie Proulx,The Shipping News
1993,Robert Olen Butler,A Good Scent From A Stange Mountain
1992,Jane Smiley,A Thousand Acres
1991,John Updike,Rabbit At Rest
1990,Oscar Hijuelos,The Mambo Kings Play Songs Of Love
1989,Anne  Tyler,Breathing Lessons
1988,Toni Morrison,Beloved
1987,Peter Taylor,A Summons To Memphis
1986,Larry McMurtry,Lonesome Dove
1985,Alison Lurie,Foreign Affairs
1984,William Kennedy,Ironweed
1983,Alice Walker,The Color Purple
1982,John Updike,Rabbit Is Rich
1981,John Kennedy Toole,A Confederacy Of Dunces
1980,Norman Mailer,The Executioner's Song
1979,John Cheever,The Stories Of John Cheever
1978,James Alan McPherson,Elbow Room
1976,Saul Bellow,Humboldt's Gift
1975,Michael Shaara,The Killer Angels
1973,Eudora Welty,The Optimist's Daughter
1972,Wallace Stegner,Angle Of Repose
1970,Jean Stafford,Collected Stories
1969,N. Scott Momaday,House Made Of Dawn
1968,William Styron,The Confessions Of Nat Turner
1967,Bernard Malamud,The Fixer
1966,Katharine Anne Porter,Collected Stories
1965,Shirley Anne Grau,The Keepers Of The House
1963,William Faulkner,The Reivers
1962,Edwin O'Connor,The Edge Of Sadness
1961,Harper Lee,To Kill A Mockingbird
1960,Allen Drury,Advise And Consent
1959,Robert Lewis Taylor,The Travels Of Jamie McPheeters
1958,James Agee,A Death In The Family
1956,MacKinlay Kantor,Andersonville
1955,William Faulkner,A Fable
1953,Ernest Hemingway,The Old Man And The Sea
1952,Herman B. Wouk,The Caine Mutiny
1951,Conrad Richter,The Town
1950,A. B. Guthrie Jr.,The Way West
1949,James Gould Cozzens,Guard Of Honor
1948,James A. Michener,Tales Of The South Pacific
1947,Robert Penn Warren,All The King's Men
1945,John Hersey,A Bell For Adano
1944,Martin Flavin,Journey In The Dark
1943,Upton Sinclair,Dragon's Teeth
1942,Ellen Glasgow,In This Our Life
1940,John Steinbeck,The Grapes Of Wrath
1939,Marjorie Kinnan Rawlings,The Yearling
1938,John P. Marquand,The Late George Apley
1937,Margaret  Mitchell,Gone With The Wind
1936,Harold L. Davis,Honey In The Horn
1935,Josephine W. Johnson,Now In November
1934,Caroline  Miller,Lamb In His Bosom
1933,T. S. Stribling,The Store
1932,Pearl S. Buck,The Good Earth
1931,Margaret Ayer Barnes,Years Of Grace
1930,Oliver LaFarge,Laughing Boy
1929,Julia M. Peterkin,Scarlet Sister Mary
1928,Thornton Wilder,The Bridge of San Luis Rey
1927,Louis Bromfield,Early Autumn
1926,Sinclair Lewis,Arrowsmith
1925,Edna Ferber,So Big
1924,Margaret Wilson,The Able McLaughlins
1923,Willa Cather,One of Ours
1922,Booth Tarkington,Alice Adams
1921,Edith Wharton,The Age of Innocence
1919,Booth Tarkington,The Magnificent Ambersons
1918,Ernest Poole,His Family
